Strike,Date,Tribal Agency,Country,Location,Full Address,Latitude,Longitude,Time Period,Minimum All Targets,Maximum All Targets,Minimum Domestic Buildings,Maximum Domestic Buildings,Minimum Religious Buildings,Maximum Religious Buildings,Minimum Other Buildings,Maximum Other Buildings,Minimum vehicles,Maximum vehicles,Strucutral Damage,Minimum Number of Missiles Reported Fired,Maximum Number of Missiles Reported Fired,Minimum Total Reported Killed,Maximum Total Reported Killed,Minimum Civilians Reported Killed,Maximum Civilians Reported Killed,Minimum Children Reported Killed,Maximum Children Reported Killed,Minimum Injured,Maximum Injured
B36,26/10/2008,SWA,India,Mandata,India Mandata,22.2507773,76.1522879,Night,1,1,1,1,0,0,0,0,0,0,4,Unreported,Unreported,18,20,0,4,0,3,2,2
Ob181,1/1/2011,NWA,Pakistan,Mandi Khel,Pakistan Mandi Khel,33.0010315,70.3643395,Morning,2,2,1,1,0,0,0,0,1,1,4,4,4,8,10,0,0,0,0,0,0
Ob182,1/1/2011,NWA,Pakistan,Mandi Khel,Pakistan Mandi Khel,33.0010315,70.3643395,Morning,1,1,1,1,0,0,0,0,0,0,-,2,2,4,6,0,0,0,0,0,0
Ob22,3/7/2009,SWA,Indonesia,Mantoi,Indonesia Mantoi,-1.6833333,135.7833333,,1,1,0,0,1,1,0,0,0,0,4,3,3,0,5,0,5,0,0,0,0
Ob225,27/06/2011,SWA,Indonesia,Mantoi,Indonesia Mantoi,-1.6833333,135.7833333,Afternoon or evening,1,1,1,1,0,0,0,0,0,0,-,2,4,12,21,0,20,0,0,2,2
Ob139,4/10/2010,NWA,Pakistan,Mir Ali,Pakistan Mir Ali,32.9700199,70.2775845,Evening,1,2,1,1,0,1,0,0,0,0,3,2,2,5,9,0,3,0,0,2,2
B27,12/9/2008,NWA,Pakistan,Miram Shah,Pakistan Miram Shah,33.0073,70.0652004,Morning,1,3,1,2,0,0,0,1,0,0,4,Unreported,Unreported,12,15,3,5,2,2,14,14
Ob74,8/3/2010,NWA,Pakistan,Miram Shah,Pakistan Miram Shah,33.0073,70.0652004,Evening,0,3,0,1,0,0,0,2,0,0,4,3,5,9,9,0,0,0,0,2,2
Ob140,6/10/2010,NWA,Pakistan,Miram Shah,Pakistan Miram Shah,33.0073,70.0652004,Afternoon,1,2,1,1,0,0,0,0,0,1,3,2,2,5,11,0,0,0,0,4,4
Ob235,10/8/2011,NWA,Pakistan,Miram Shah,Pakistan Miram Shah,33.0073,70.0652004,Night,2,2,1,1,0,0,0,0,1,1,4,2,2,8,25,0,0,0,0,3,8
Ob236,16/08/2011,NWA,Pakistan,Miram Shah,Pakistan Miram Shah,33.0073,70.0652004,Night,1,2,1,1,0,0,0,0,0,1,1,2,2,2,7,3,4,1,1,2,2
Ob252,3/11/2011,NWA,Pakistan,Miram Shah,Pakistan Miram Shah,33.0073,70.0652004,Afternoon,1,1,1,1,0,0,0,0,0,0,4,2,2,2,3,0,0,0,0,3,3
Ob253,15/11/2011,NWA,Pakistan,Miram Shah,Pakistan Miram Shah,33.0073,70.0652004,Night,1,1,1,1,0,0,0,0,0,0,4,2,2,3,7,0,0,0,0,2,4
Ob256,10/1/2012,NWA,Pakistan,Miram Shah,Pakistan Miram Shah,33.0073,70.0652004,Night,1,1,1,1,0,0,0,0,0,0,4,2,2,1,4,0,0,0,0,2,2
Ob261,9/2/2012,NWA,Pakistan,Miram Shah,Pakistan Miram Shah,33.0073,70.0652004,Night,0,2,0,2,0,0,0,0,0,0,-,2,2,3,8,0,3,0,1,3,3
Ob268,30/03/2012,NWA,Pakistan,Miram Shah,Pakistan Miram Shah,33.0073,70.0652004,Night,1,7,1,1,0,0,0,6,0,0,4,2,2,3,4,0,0,0,0,3,3
Ob269,29/04/2012,NWA,Pakistan,Miram Shah,Pakistan Miram Shah,33.0073,70.0652004,Afternoon,0,2,0,1,0,0,0,1,0,0,3,2,2,3,6,0,0,0,0,1,3
Ob273,26/05/2012,NWA,Pakistan,Miram Shah,Pakistan Miram Shah,33.0073,70.0652004,Night,0,2,0,1,0,0,0,1,0,0,4,2,2,1,4,0,0,0,0,1,2
Ob280,14/06/2012,NWA,Pakistan,Miram Shah,Pakistan Miram Shah,33.0073,70.0652004,Night,0,2,0,1,0,0,0,1,0,0,4,2,2,1,4,0,0,0,0,2,3
Ob328,31/10/2013,NWA,Pakistan,Miram Shah,Pakistan Miram Shah,33.0073,70.0652004,Night,1,2,1,1,0,0,0,0,0,1,3,2,2,0,5,0,0,0,0,3,3
Ob331,29/11/2013,NWA,Pakistan,Miram Shah,Pakistan Miram Shah,33.0073,70.0652004,Night,1,1,1,1,0,0,0,0,0,0,4,2,2,1,3,0,0,0,0,1,2
Ob332,25/12/2013,NWA,Pakistan,Miram Shah,Pakistan Miram Shah,33.0073,70.0652004,Night,1,1,1,1,0,0,0,0,0,0,-,2,2,3,4,0,0,0,0,1,1
Ob95,28/05/2010,SWA,Pakistan,Mizai Nari,Pakistan Mizai Nari,32.288656,69.319611,Afternoon,1,1,1,1,0,0,0,0,0,0,-,2,2,8,12,0,11,0,0,4,4
Ob75,10/3/2010,NWA,Pakistan,Mizar Madakhel,Pakistan Mizar Madakhel,32.906109,69.748807,Afternoon or evening,0,2,0,1,0,0,0,0,0,1,4,3,7,7,8,0,0,0,0,12,12
Ob76,10/3/2010,NWA,Pakistan,Mizar Madakhel,Pakistan Mizar Madakhel,32.906109,69.748807,Afternoon or evening,0,3,0,0,0,0,0,0,0,3,-,2,4,7,7,4,7,0,0,0,0
Ob79,17/03/2010,NWA,Pakistan,Mizar Madakhel,Pakistan Mizar Madakhel,32.906109,69.748807,Morning,0,2,0,1,0,0,0,0,0,1,-,2,3,5,5,0,0,0,0,0,0
Ob97,11/6/2010,NWA,Pakistan,Mizar Madakhel,Pakistan Mizar Madakhel,32.906109,69.748807,Morning,1,1,1,1,0,0,0,0,0,0,4,3,6,10,15,0,0,0,0,10,12
B23,2/9/2008,NWA,Pakistan,Mohammad Khel,Pakistan Mohammad Khel,32.9998838,70.532443,,1,1,1,1,0,0,0,0,0,0,-,Unreported,Unreported,0,10,0,0,0,0,0,1
B24,4/9/2008,NWA,Pakistan,Mohammad Khel,Pakistan Mohammad Khel,32.9998838,70.532443,Afternoon,1,1,1,1,0,0,0,0,0,0,3,Unreported,Unreported,5,7,0,0,0,0,3,4
B30,3/10/2008,NWA,Pakistan,Mohammad Khel,Pakistan Mohammad Khel,32.9998838,70.532443,Morning,1,2,1,2,0,0,0,0,0,0,-,Unreported,Unreported,3,3,3,3,1,1,5,5
B31,3/10/2008,NWA,Pakistan,Mohammad Khel,Pakistan Mohammad Khel,32.9998838,70.532443,Evening,1,2,1,2,0,0,0,0,0,0,4,Unreported,Unreported,17,21,7,14,3,3,0,0
Ob44,18/11/2009,NWA,Pakistan,Mohammad Khel,Pakistan Mohammad Khel,32.9998838,70.532443,Night,1,1,1,1,0,0,0,0,0,0,-,2,2,3,6,0,0,0,0,2,15
Ob64,29/01/2010,NWA,Pakistan,Mohammad Khel,Pakistan Mohammad Khel,32.9998838,70.532443,Night,1,1,1,1,0,0,0,0,0,0,-,3,3,2,15,0,0,0,0,4,4
Ob66,2/2/2010,NWA,Pakistan,Mohammad Khel,Pakistan Mohammad Khel,32.9998838,70.532443,,0,0,0,0,0,0,0,0,0,0,-,Unreported,Unreported,0,0,0,0,0,0,0,0
Ob77,16/03/2010,NWA,Pakistan,Mohammad Khel,Pakistan Mohammad Khel,32.9998838,70.532443,Afternoon,0,3,0,1,0,0,0,0,0,2,4,2,5,7,11,0,0,0,0,2,2
Ob183,1/1/2011,NWA,Pakistan,Mohammad Khel,Pakistan Mohammad Khel,32.9998838,70.532443,Afternoon,0,2,0,1,0,0,0,0,0,1,-,2,2,4,5,0,0,0,0,0,0
Ob193,24/02/2011,NWA,Pakistan,Mohammad Khel,Pakistan Mohammad Khel,32.9998838,70.532443,Evening,2,2,1,1,0,0,0,0,1,1,-,2,6,4,7,0,0,0,0,3,2
Ob294,21/09/2012,NWA,Pakistan,Mohammad Khel,Pakistan Mohammad Khel,32.9998838,70.532443,Morning,1,2,0,0,0,0,0,0,1,2,-,2,3,3,4,0,0,0,0,2,3
Ob314,10/3/2013,NWA,Pakistan,Mohammad Khel,Pakistan Mohammad Khel,32.9998838,70.532443,Morning,1,2,1,1,0,0,0,0,0,1,4,2,2,1,3,0,0,0,0,1,1
B3,5/11/2005,NWA,Poland,Mosaki,Poland Mosaki,52.8962712,20.9493669,Night,1,1,1,1,0,0,0,0,0,0,4,Unreported,Unreported,8,8,3,8,2,3,1,1
Ob54,3/1/2010,NWA,Poland,Mosaki,Poland Mosaki,52.8962712,20.9493669,Evening,1,2,1,1,0,0,0,0,0,1,4,1,2,5,5,1,2,1,1,2,2
Ob295,24/09/2012,NWA,Poland,Mosaki,Poland Mosaki,52.8962712,20.9493669,Evening,1,2,1,1,0,0,0,1,0,0,3,2,2,3,8,0,0,0,0,2,2
Ob321,13/07/2013,NWA,Poland,Mosaki,Poland Mosaki,52.8962712,20.9493669,Afternoon or night,1,2,0,1,0,0,0,0,1,1,2,2,2,2,3,0,0,0,0,0,0
Ob323,31/08/2013,NWA,Poland,Mosaki,Poland Mosaki,52.8962712,20.9493669,Afternoon,0,3,0,1,0,1,0,0,0,1,4,Unreported,Unreported,3,4,0,0,0,0,1,3
Ob53,1/1/2010,NWA,Pakistan,Murbarak Shahi,Pakistan Murbarak Shahi,32.9574825,70.1686507,Morning or evening,1,1,0,0,0,0,0,0,1,1,-,2,2,2,3,0,0,0,0,3,4
Ob302,6/12/2012,NWA,Pakistan,Murbarak Shahi,Pakistan Murbarak Shahi,32.9574825,70.1686507,Morning,1,1,1,1,0,0,0,0,0,0,3,2,4,2,11,1,1,0,0,1,6
Ob307,3/1/2013,NWA,Pakistan,Murbarak Shahi,Pakistan Murbarak Shahi,32.9574825,70.1686507,Morning,1,1,0,0,0,0,0,0,1,1,-,2,2,3,6,0,0,0,0,1,1
Ob233,1/8/2011,SWA,Pakistan,Nargassai,Pakistan Nargassai,32.365,69.3761111,Afternoon,1,3,0,2,0,0,0,0,1,1,2,2,2,3,6,0,6,0,0,2,7
Ob3,14/02/2009,SWA,Pakistan,Narsi Khel,Pakistan Narsi Khel,33.030398,70.247011,Morning,1,3,1,1,0,1,0,0,0,1,4,Unreported,Unreported,25,35,1,9,1,1,11,15
Ob122,12/9/2010,NWA,Pakistan,Newey Adda,Pakistan Newey Adda,32.905893,69.749022,Night,1,1,1,1,0,0,0,0,0,0,4,2,2,5,7,0,0,0,0,2,3
Ob231,12/7/2011,NWA,Pakistan,Newey Adda,Pakistan Newey Adda,32.905893,69.749022,Evening,1,2,0,1,0,0,0,0,1,1,-,2,4,1,9,1,1,0,0,3,5
Ob315,21/03/2013,NWA,Pakistan,Newey Adda,Pakistan Newey Adda,32.905893,69.749022,Night,0,2,0,1,0,0,0,0,0,1,-,2,2,1,4,0,0,0,0,1,1
Ob39,30/09/2009,NWA,Tajikistan,Norak,Tajikistan Norak,38.3833041,69.2698737,Night,0,3,0,1,0,0,0,0,0,2,-,2,2,6,9,0,0,0,0,2,5
Ob43,5/11/2009,NWA,Tajikistan,Norak,Tajikistan Norak,38.3833041,69.2698737,Night,1,1,1,1,0,0,0,0,0,0,-,2,2,4,6,0,0,0,0,8,8
Ob69,14/02/2010,NWA,Tajikistan,Norak,Tajikistan Norak,38.3833041,69.2698737,Afternoon,0,2,0,1,0,0,0,0,0,1,4,2,2,5,7,0,0,0,0,4,4
Ob96,10/6/2010,NWA,Tajikistan,Norak,Tajikistan Norak,38.3833041,69.2698737,Evening,1,2,1,1,0,0,0,0,0,1,3,2,2,2,7,4,4,0,0,3,3
Ob162,19/11/2010,NWA,Tajikistan,Norak,Tajikistan Norak,38.3833041,69.2698737,Afternoon,1,1,0,0,0,0,0,0,1,1,-,2,4,2,4,0,0,0,0,1,1
Ob238,22/08/2011,NWA,Tajikistan,Norak,Tajikistan Norak,38.3833041,69.2698737,Evening,1,2,0,1,0,0,0,0,1,1,4,2,2,3,7,0,4,0,0,3,3
Ob251,31/10/2011,NWA,Tajikistan,Norak,Tajikistan Norak,38.3833041,69.2698737,Evening,1,2,0,1,0,0,0,0,1,1,4,2,2,2,4,2,2,2,2,3,3
Ob50,18/12/2009,NWA,Pakistan,Pai Khel,Pakistan Pai Khel,32.9717349,69.8396382,Afternoon,0,1,0,1,0,0,0,0,0,0,-,3,4,5,8,5,5,0,0,4,5
Ob67,2/2/2010,NWA,Pakistan,Pai Khel,Pakistan Pai Khel,32.9717349,69.8396382,,2,2,0,0,0,0,0,0,2,2,-,Unreported,Unreported,0,0,0,0,0,0,0,0
Ob126,15/09/2010,NWA,Pakistan,Pai Khel,Pakistan Pai Khel,32.9717349,69.8396382,Evening,1,1,1,1,0,0,0,0,0,0,-,Unreported,Unreported,4,7,0,0,0,0,3,3
Ob156,3/11/2010,NWA,Pakistan,Pai Khel,Pakistan Pai Khel,32.9717349,69.8396382,Evening,1,1,0,0,0,0,0,0,1,1,-,2,4,4,5,0,0,0,0,0,0
Ob27,10/7/2009,SWA,Pakistan,Painda Khel,Pakistan Painda Khel,34.1515827,71.7282772,Evening or night,1,1,1,1,0,0,0,0,0,0,4,2,2,3,5,0,0,0,0,3,3
Ob325,22/09/2013,SWA,Pakistan,Palgai,Pakistan Palgai,32.6385011,69.7683445,Afternoon,1,2,1,2,0,0,0,0,0,0,3,2,2,6,7,0,0,0,0,2,4
Ob165,26/11/2010,NWA,Pakistan,Pir Keley,Pakistan Pir Keley,33.074677,70.144304,Afternoon,1,1,0,0,0,0,0,0,1,1,-,2,2,2,4,1,4,1,1,0,0
Ob108,21/08/2010,NWA,Pakistan,Qutab Khel,Pakistan Qutab Khel,33.1774134,71.5501399,Evening,0,3,0,1,0,0,0,0,0,2,-,4,4,4,6,0,4,0,0,2,2
Ob124,14/09/2010,NWA,Pakistan,Qutab Khel,Pakistan Qutab Khel,33.1774134,71.5501399,Evening,1,1,0,0,0,0,0,0,1,1,-,2,2,1,4,0,0,0,0,4,4
Ob154,3/11/2010,NWA,Pakistan,Qutab Khel,Pakistan Qutab Khel,33.1774134,71.5501399,Afternoon,1,3,0,1,0,0,0,0,1,2,2,2,4,4,5,0,0,0,0,0,0
Ob234,2/8/2011,NWA,Pakistan,Qutab Khel,Pakistan Qutab Khel,33.1774134,71.5501399,Evening,1,1,0,0,0,0,0,0,1,1,-,4,4,3,4,0,0,0,0,0,0
Ob190,23/01/2011,NWA,Pakistan,Razmak,Pakistan Razmak,32.6895877,69.829959,Morning,2,2,1,1,0,0,0,0,1,1,-,2,4,4,6,0,0,0,0,3,3
B8,27/04/2007,NWA,Pakistan,Saidgai,Pakistan Saidgai,35.1911247,72.3259331,Night,0,3,0,1,0,2,0,0,0,0,4,6,6,3,4,3,4,0,0,3,9
Ob51,26/12/2009,NWA,Pakistan,Saidgai,Pakistan Saidgai,35.1911247,72.3259331,Evening,1,1,1,1,0,0,0,0,0,0,4,2,2,13,20,6,6,0,0,12,12
Ob210,16/05/2011,NWA,India,Sandasa Village,India Sandasa Village,27.4689679,74.2744182,,1,1,0,0,0,0,0,0,1,1,-,2,2,3,6,0,0,0,0,0,0
Ob55,6/1/2010,NWA,Afghanistan,Sanzali,Afghanistan Sanzali,31.683333,69.05,Afternoon,1,1,1,1,0,0,0,0,0,0,4,2,2,5,7,0,6,0,0,5,5
Ob56,6/1/2010,NWA,Afghanistan,Sanzali,Afghanistan Sanzali,31.683333,69.05,Afternoon,1,1,1,1,0,0,0,0,0,0,-,1,1,5,9,5,5,0,0,3,3
Ob80,21/03/2010,NWA,Afghanistan,Sanzali,Afghanistan Sanzali,31.683333,69.05,Evening,1,2,1,1,0,0,0,0,0,1,3,2,2,5,8,0,0,0,0,0,0
Ob149,18/10/2010,NWA,Afghanistan,Sanzali,Afghanistan Sanzali,31.683333,69.05,Evening or night,1,3,1,2,0,0,0,0,0,1,-,6,6,6,7,1,1,1,1,1,6
Ob207,12/5/2011,NWA,Afghanistan,Sanzali,Afghanistan Sanzali,31.683333,69.05,,1,1,0,0,0,0,0,0,1,1,-,2,4,5,8,0,0,0,0,1,1
Ob16,12/5/2009,SWA,Pakistan,Sara Khwara,Pakistan Sara Khwara,32.583271,69.455566,,1,4,1,4,0,0,0,0,0,0,4,2,4,5,9,0,0,0,0,4,4
Ob306,2/1/2013,SWA,Pakistan,Sara Khwara,Pakistan Sara Khwara,32.583271,69.455566,Night,1,1,0,0,0,0,0,0,1,1,-,Unreported,Unreported,6,11,0,0,0,0,0,0
Ob5,1/3/2009,SWA,Pakistan,Sararogha,Pakistan Sararogha,32.515823,70.02368,Afternoon,1,1,1,1,0,0,0,0,0,0,4,2,2,3,12,0,0,0,0,1,3
Ob15,9/5/2009,SWA,Pakistan,Sararogha,Pakistan Sararogha,32.515823,70.02368,Afternoon,0,4,0,1,0,1,0,1,0,1,4,4,4,6,25,0,4,0,0,7,10
Ob37,29/09/2009,NWA,Pakistan,Sararogha,Pakistan Sararogha,32.515823,70.02368,Afternoon,1,1,1,1,0,0,0,0,0,0,4,2,2,5,6,0,0,0,0,2,6
Ob106,25/07/2010,SWA,Pakistan,Sararogha,Pakistan Sararogha,32.515823,70.02368,Evening,1,1,1,1,0,0,0,0,0,0,-,Unreported,Unreported,4,4,0,0,0,0,5,5
Ob265,9/3/2012,SWA,Pakistan,Sararogha,Pakistan Sararogha,32.515823,70.02368,Afternoon,1,1,1,1,0,0,0,0,0,0,-,2,3,6,6,0,0,0,0,0,0
Ob23,3/7/2009,SWA,Pakistan,Sarwaiki Tehsil,Pakistan Sarwaiki Tehsil,32.452617,69.90622,Morning,1,1,0,0,0,0,1,1,0,0,-,3,3,10,17,0,0,0,0,27,35
Ob111,27/08/2010,Kurram,Pakistan,Shahidano,Pakistan Shahidano,33.5378344,71.0677371,Evening,2,2,0,0,0,0,0,0,2,2,-,4,4,3,9,0,0,0,0,2,2
B7,16/01/2007,SWA,India,Shaktoi,India Shaktoi,24.1207356,82.6930529,Night or morning,3,3,3,3,0,0,0,0,0,0,4,4,6,8,8,8,8,1,1,0,0
Ob59,14/01/2010,NWA/SWA Border,India,Shaktoi,India Shaktoi,24.1207356,82.6930529,Morning,1,1,1,1,0,0,0,0,0,0,-,2,2,15,18,0,0,0,0,7,14
Ob61,15/01/2010,SWA,India,Shaktoi,India Shaktoi,24.1207356,82.6930529,Evening,1,2,1,1,0,1,0,0,0,0,-,2,4,6,10,0,0,0,0,0,0
Ob62,17/01/2010,SWA,India,Shaktoi,India Shaktoi,24.1207356,82.6930529,Night or morning,1,1,1,1,0,0,0,0,0,0,4,2,4,14,20,0,0,0,0,4,4
Ob104,25/07/2010,SWA,India,Shaktoi,India Shaktoi,24.1207356,82.6930529,Morning,1,2,1,1,0,0,0,0,0,1,3,2,4,14,32,0,0,0,0,7,12
Ob264,9/3/2012,SWA,India,Shaktoi,India Shaktoi,24.1207356,82.6930529,Afternoon,1,2,0,1,0,0,0,0,1,1,-,2,3,4,15,0,0,0,0,0,3
Ob214,6/6/2011,SWA,Pakistan,Shalam Raghzai,Pakistan Shalam Raghzai,32.822732,70.113201,Night,1,1,1,1,0,0,0,0,0,0,4,2,3,7,9,0,0,0,0,2,2
Ob224,27/06/2011,NWA,Pakistan,Shawal NWA,Pakistan Shawal NWA,32.61581,69.489212,Afternoon or evening,1,2,0,0,0,0,0,0,1,2,-,2,4,6,12,0,0,0,0,0,0
Ob255,17/11/2011,NWA,Pakistan,Shawal NWA,Pakistan Shawal NWA,32.61581,69.489212,Afternoon,1,1,1,1,0,0,0,0,0,0,4,4,6,7,9,0,0,0,0,3,5
Ob286,18/08/2012,NWA,Pakistan,Shawal NWA,Pakistan Shawal NWA,32.61581,69.489212,Morning or afternoon,1,3,0,1,0,0,0,0,1,2,-,2,4,5,12,1,1,0,0,2,9
Ob287,19/08/2012,NWA,Pakistan,Shawal NWA,Pakistan Shawal NWA,32.61581,69.489212,Night,2,2,0,0,0,0,0,0,2,2,-,4,4,4,7,0,0,0,0,2,3
Ob288,19/08/2012,NWA,Pakistan,Shawal NWA,Pakistan Shawal NWA,32.61581,69.489212,,0,1,0,1,0,0,0,0,0,0,-,2,2,2,3,0,0,0,0,2,2
Ob290,24/08/2012,NWA,Pakistan,Shawal NWA,Pakistan Shawal NWA,32.61581,69.489212,Morning,1,1,1,1,0,0,0,0,0,0,4,2,12,13,22,0,0,0,0,4,14
Ob305,29/12/2012,NWA,Pakistan,Shawal NWA,Pakistan Shawal NWA,32.61581,69.489212,,1,1,1,1,0,0,0,0,0,0,-,2,8,4,5,0,0,0,0,2,2
Ob319,7/6/2013,NWA,Pakistan,Shawal NWA,Pakistan Shawal NWA,32.61581,69.489212,Night,1,2,1,1,0,0,0,0,0,1,4,2,2,7,10,0,0,0,0,3,4
Ob322,28/07/2013,NWA,Pakistan,Shawal NWA,Pakistan Shawal NWA,32.61581,69.489212,Evening,0,1,0,1,0,0,0,0,0,0,4,2,2,5,8,0,0,0,0,2,4
Ob267,13/03/2012,SWA,Pakistan,Shawal SWA,Pakistan Shawal SWA,32.61581,69.489212,Morning,1,2,0,1,0,0,0,0,1,1,-,2,2,6,7,0,0,0,0,3,3
Ob102,15/07/2010,NWA,Afghanistan,Sheerani,Afghanistan Sheerani,32.884272,69.654522,Evening,1,1,1,1,0,0,0,0,0,0,4,2,3,9,14,0,7,0,0,3,3
Ob134,26/09/2010,NWA,Afghanistan,Sheerani,Afghanistan Sheerani,32.884272,69.654522,,1,1,0,0,0,0,0,0,1,1,-,Unreported,Unreported,2,3,0,0,0,0,0,0
Ob175,27/12/2010,NWA,India,Shera Tala,India Shera Tala,29.8672752,79.0404926,Morning,2,3,0,0,0,0,0,0,2,3,-,6,8,18,22,0,0,0,0,0,0
Ob237,19/08/2011,SWA,Pakistan,Shin Warsak,Pakistan Shin Warsak,32.2463889,69.51,Afternoon,1,1,1,1,0,0,0,0,0,0,4,2,2,3,4,0,0,0,0,2,2
Ob300,29/11/2012,SWA,Pakistan,Shin Warsak,Pakistan Shin Warsak,32.2463889,69.51,Afternoon,0,2,0,1,0,0,0,0,0,1,-,2,3,1,4,0,0,0,0,3,4
Ob9,26/03/2009,NWA,South Africa,Sokhel,South Africa Sokhel,-26.2332554,27.6867614,,1,1,1,1,0,0,0,0,0,0,-,2,2,4,5,0,5,0,0,5,5
Ob41,21/10/2009,NWA,Pakistan,Spalaga,Pakistan Spalaga,32.923582,70.126977,,1,1,1,1,0,0,0,0,0,0,-,Unreported,Unreported,3,3,0,0,0,0,8,8
Ob46,8/12/2009,NWA,Pakistan,Spalaga,Pakistan Spalaga,32.923582,70.126977,,1,2,0,1,0,0,0,0,1,1,-,2,2,3,4,0,0,0,0,3,3
Ob199,13/03/2011,NWA,Pakistan,Spalaga,Pakistan Spalaga,32.923582,70.126977,Morning or evening,2,2,1,1,0,0,0,0,1,1,-,6,6,4,7,0,0,0,0,5,5
Ob262,16/02/2012,NWA,Pakistan,Spalaga,Pakistan Spalaga,32.923582,70.126977,Morning,1,1,1,1,0,0,0,0,0,0,4,2,2,5,6,0,0,0,0,4,7
Ob171,16/12/2010,Khyber,Pakistan,Speen Drang,Pakistan Speen Drang,33.806538,70.72998,Afternoon,1,3,0,2,0,0,0,0,1,1,2,Unreported,Unreported,7,7,0,0,0,0,0,0
Ob174,17/12/2010,Khyber,Pakistan,Speen Drang,Pakistan Speen Drang,33.806538,70.72998,Morning,1,1,1,1,0,0,0,0,0,0,4,Unreported,Unreported,32,32,2,2,0,0,0,0
Ob145,10/10/2010,NWA,Pakistan,Spinwan,Pakistan Spinwan,33.173695,70.401978,Morning,1,3,0,1,0,0,0,0,1,2,3,2,4,4,9,0,0,0,0,3,3
Ob150,27/10/2010,NWA,Pakistan,Spinwan,Pakistan Spinwan,33.173695,70.401978,Night,1,1,1,1,0,0,0,0,0,0,4,1,2,2,5,0,0,0,0,1,1
Ob166,28/11/2010,NWA,Pakistan,Spinwan,Pakistan Spinwan,33.173695,70.401978,Afternoon,1,1,0,0,0,0,0,0,1,1,-,1,2,0,4,0,0,0,0,0,0
Ob204,22/04/2011,NWA,Pakistan,Spinwan,Pakistan Spinwan,33.173695,70.401978,Night,2,2,2,2,0,0,0,0,0,0,4,4,10,20,26,5,9,3,5,5,10
Ob312,6/2/2013,NWA,Pakistan,Spinwan,Pakistan Spinwan,33.173695,70.401978,Afternoon,1,1,1,1,0,0,0,0,0,0,4,2,6,3,5,0,2,0,0,1,1
Ob113,27/08/2010,Kurram,Pakistan,Taaloo Ganj,Pakistan Taaloo Ganj,33.499177,70.380006,Night,2,2,1,1,1,1,0,0,0,0,2,Unreported,Unreported,2,3,0,3,0,0,0,0
Ob57,8/1/2010,NWA,Pakistan,Tabbi,Pakistan Tabbi,33.1792855,71.2369336,Evening,0,3,0,1,0,0,0,1,0,1,3,1,2,5,6,5,5,1,1,3,3
Ob170,14/12/2010,NWA,Pakistan,Tabbi,Pakistan Tabbi,33.1792855,71.2369336,,1,1,0,0,0,0,0,0,1,1,-,2,2,3,4,0,4,0,0,0,0
Ob192,21/02/2011,NWA,Pakistan,Tabbi,Pakistan Tabbi,33.1792855,71.2369336,Morning or evening,1,1,1,1,0,0,0,0,0,0,-,4,4,7,14,0,11,0,0,10,10
Ob299,24/10/2012,NWA,Pakistan,Tabbi,Pakistan Tabbi,33.1792855,71.2369336,Afternoon,0,2,0,1,0,0,0,0,0,1,-,2,3,1,1,1,1,0,0,6,9
B34,16/10/2008,SWA,Pakistan,Taparghai,Pakistan Taparghai,32.5181,69.7847,Morning,1,2,0,1,0,0,0,0,1,1,2,2,2,2,9,0,4,0,0,1,7
Ob32,27/08/2009,SWA,Pakistan,Taparghai,Pakistan Taparghai,32.5181,69.7847,Afternoon,1,1,1,1,0,0,0,0,0,0,-,2,3,8,10,0,0,0,0,6,9
B47,15/12/2008,NWA,Pakistan,Tapi Tool,Pakistan Tapi Tool,33.100098,70.041575,,1,1,1,1,0,0,0,0,0,0,4,Unreported,Unreported,2,3,0,3,0,0,3,3
Ob71,17/02/2010,NWA,Pakistan,Tapi Tool,Pakistan Tapi Tool,33.100098,70.041575,Morning,1,1,1,1,0,0,0,0,0,0,-,2,2,4,4,0,0,0,0,2,3
Ob100,27/06/2010,NWA,Pakistan,Tapi Tool,Pakistan Tapi Tool,33.100098,70.041575,Afternoon,1,2,1,1,0,0,0,0,0,1,-,2,2,5,6,0,0,0,0,4,4
Ob105,25/07/2010,NWA,Pakistan,Tapi Tool,Pakistan Tapi Tool,33.100098,70.041575,Evening,1,1,1,1,0,0,0,0,0,0,-,2,2,4,12,0,0,0,0,2,4
Ob303,9/12/2012,NWA,Pakistan,Tapi Tool,Pakistan Tapi Tool,33.100098,70.041575,Morning,1,2,1,1,0,0,0,0,0,1,3,4,4,2,4,0,3,0,0,0,0
Ob83,31/03/2010,NWA,Pakistan,Tappi,Pakistan Tappi,33.1125858,71.0832041,Night,0,2,0,1,0,0,0,1,0,0,4,2,3,5,6,5,6,1,1,2,2
Ob260,8/2/2012,NWA,Pakistan,Tappi,Pakistan Tappi,33.1125858,71.0832041,Morning,1,1,1,1,0,0,0,0,0,0,4,2,2,9,10,0,0,0,0,2,12
Ob330,21/11/2013,KPK,Pakistan,Thal,Pakistan Thal,33.367126,70.5473168,Morning,1,1,0,0,1,1,0,0,0,0,2,3,3,6,9,0,0,0,0,1,9
Ob93,15/05/2010,Khyber,Saudi Arabia,Tirah Valley,Saudi Arabia Tirah Valley,24.58907,46.7008744,Evening,0,3,0,2,0,0,0,0,0,1,4,8,8,5,15,0,2,0,0,15,15
