Strike,Date,Tribal Agency,Country,Location,Full Address,Latitude,Longitude,Time Period,Minimum All Targets,Maximum All Targets,Minimum Domestic Buildings,Maximum Domestic Buildings,Minimum Religious Buildings,Maximum Religious Buildings,Minimum Other Buildings,Maximum Other Buildings,Minimum vehicles,Maximum vehicles,Strucutral Damage,Minimum Number of Missiles Reported Fired,Maximum Number of Missiles Reported Fired,Minimum Total Reported Killed,Maximum Total Reported Killed,Minimum Civilians Reported Killed,Maximum Civilians Reported Killed,Minimum Children Reported Killed,Maximum Children Reported Killed,Minimum Injured,Maximum Injured
Ob310,8/1/2013,NWA,Pakistan,Hisokhel,Pakistan Hisokhel,32.954322,70.266516,Night,1,1,1,1,0,0,0,0,0,0,-,2,11,0,9,0,0,0,0,1,4
Ob82,27/03/2010,NWA,Iran,Hurmuz,Iran Hurmuz,27.0870766,56.4579919,,1,2,1,2,0,0,0,0,0,0,4,2,2,4,4,0,4,0,0,5,5
Ob141,6/10/2010,NWA,Iran,Hurmuz,Iran Hurmuz,27.0870766,56.4579919,Night,1,1,1,1,0,0,0,0,0,0,4,2,2,3,5,0,0,0,0,3,3
Ob226,5/7/2011,NWA,Iran,Hurmuz,Iran Hurmuz,27.0870766,56.4579919,Night,0,2,0,2,0,0,0,0,0,0,4,2,4,4,6,0,3,0,2,5,5
Ob297,10/10/2012,NWA,Iran,Hurmuz,Iran Hurmuz,27.0870766,56.4579919,Night,1,1,1,1,0,0,0,0,0,0,3,4,6,3,6,0,0,0,0,3,3
Ob90,9/5/2010,NWA,Afghanistan,Inzarkas,Afghanistan Inzarkas,32.97355,69.62063,Morning,1,1,1,1,0,0,0,0,0,0,4,2,2,5,10,0,4,0,0,4,4
Ob137,2/10/2010,NWA,Afghanistan,Inzarkas,Afghanistan Inzarkas,32.97355,69.62063,Morning,1,1,1,1,0,0,0,0,0,0,4,2,4,8,10,0,0,0,0,2,4
Ob138,2/10/2010,NWA,Afghanistan,Inzarkas,Afghanistan Inzarkas,32.97355,69.62063,Afternoon,2,2,1,1,0,0,0,0,1,1,-,4,4,7,14,0,0,0,0,2,2
Ob146,13/10/2010,NWA,Afghanistan,Inzarkas,Afghanistan Inzarkas,32.97355,69.62063,Evening,2,3,1,1,0,0,0,0,1,2,-,2,3,6,14,3,6,0,0,0,0
Ob200,14/03/2011,NWA,India,Isha Check Point,India Isha Check Point,32.966934,70.111426,Morning,1,1,0,0,0,0,0,0,1,1,-,2,6,3,6,0,0,0,0,0,0
